target,database_names,status,file,display_name,organisation_identified,channel,source_url,reason
Danish Embassy UK,Danish Embassy UK,done,denmark-coat-of-arms.png,Embassy of Denmark,"Royal Danish Embassy in London, United Kingdom (Government of Denmark)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/National_coat_of_arms_of_Denmark.svg/1280px-National_coat_of_arms_of_Denmark.svg.png,"Embassy, so the sending country's national coat of arms was used."
Dar Al-Hekma University,Dar Al-Hekma University,done,dar-al-hekma-university.png,Dar Al-Hekma University,"Dar Al-Hekma University, Jeddah, Saudi Arabia",official-site,https://www.dah.edu.sa/assets/images/logo-big.png,Bilingual seal and name lockup. The only Wikipedia infobox image is an old college photo.
DeLaval International,DeLaval International,done,delaval.png,DeLaval,"DeLaval International AB, Sweden",official-site,https://www.delaval.com/,"Vector logo taken from delaval.com. The inline SVG is white, so the site's own dark variant colour (#103D82, defined in the site's logo component) was applied."
Debiopharm,Debiopharm,done,debiopharm.png,Debiopharm,"Debiopharm International SA, Switzerland",official-site,https://www.debiopharm.com/wp-content/themes/debiopharm/static/img/logo-debiopharm.svg,"Wikimedia file Debiopharm_Logo.svg was rate-limited (429), so the official site header SVG was used."
Debra,Debra,failed,,DEBRA,"DEBRA UK (butterfly skin charity), United Kingdom",,https://www.debra.org.uk/wp-content/uploads/2024/04/debra-logo_353x120.png,"The official logo is a 353x120 PNG with no SVG or larger version on the site or its brand news page, and there is no Wikipedia or Commons logo."
Decision Support Centre (DSC),Decision Support Centre (DSC); DSC Decision Support Center,failed,,Decision Support Center,"Decision Support Center (Royal Court), Saudi Arabia",,https://www.dsc.gov.sa/en/,"dsc.gov.sa cannot be reached from here (connection closed), and there is no Wikipedia page or Commons logo. Group has its own mark, so the coat-of-arms fallback was not applied."
Dedrone,Dedrone,done,dedrone.png,Dedrone,"Dedrone (Dedrone by Axon), Germany/USA",official-site,https://cdn.prod.website-files.com/58fa92301759990d60953ccf/66157260d20f6967704d10db_Dedrone_Security_Black.svg,The logo used in the site header is black. A 'Dedrone by Axon' lockup also exists but is not used in the header.
Delivery Hero,Delivery Hero,done,delivery-hero.png,Delivery Hero,"Delivery Hero SE, Berlin, Germany",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/5/54/Delivery_Hero_food_delivery_logo.svg/1280px-Delivery_Hero_food_delivery_logo.svg.png,"This is the logo from the English Wikipedia infobox, as a PNG render."
Delta Partners,Delta Partners,failed,,Delta Partners,"Delta Partners (TMT advisory firm, Dubai, UAE; acquired by FTI Consulting in 2021)",,https://www.deltapartnersgroup.com/,"The firm was absorbed into FTI Consulting and its domain now redirects to fticonsulting.com, so its last logo is not on any official site, and there is no Wikipedia or Commons logo."
Deutsche Post,Deutsche Post,done,deutsche-post.png,Deutsche Post,"Deutsche Post (DHL Group's German postal brand), Germany",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Logo_Deutsche_Post_2019.svg/1280px-Logo_Deutsche_Post_2019.svg.png,Full lockup (Deutsche Post name and post horn on the yellow band). The deutschepost.de header shows only the bare horn symbol.
Diamond Light Source,Diamond Light Source,failed,,Diamond Light Source,"Diamond Light Source Ltd, UK national synchrotron facility (Harwell, United Kingdom)",,,"Both logo files are too small: the Wikipedia DiamondLogo.png trims to 300x85, and the site's only logo, Diamondlogoupdate2019R.png, is 168x53. Cloudflare blocks the site and its press page offers no logo download."
Dirco,Dirco,done,dirco.png,DIRCO,"Department of International Relations and Cooperation (DIRCO), Republic of South Africa",official-site,https://dirco.gov.za/wp-content/uploads/2020/04/DIRCO-website-header-scaled.jpg,"The lockup (coat of arms plus department name) was cropped from the official site header banner and faint background lines were cleaned off, giving a 506px raster. The Wikipedia file was too small (358x109)."
Directors UK,Directors UK,done,directors-uk.png,Directors UK,"Directors UK, professional association of screen directors (United Kingdom)",official-site,https://www.directors.uk.com/,Built from the full-colour inline SVG logo in the site header. Wikipedia has no logo.
Diriyah Company,Diriyah Gate Development Authority,done,diriyah-company.png,Diriyah Company,"Diriyah Company (formerly Diriyah Gate Development Authority), Saudi Arabia",official-site,https://www.diriyahcompany.sa/en,"Built from the bilingual roundel logo in terracotta, taken as inline SVG from the site header. There is no Wikipedia page."
Discovery Communications Europe,Discovery Communications Europe,done,warner-bros-discovery.png,Warner Bros. Discovery,"Warner Bros. Discovery, Inc. (United States), successor to Discovery Communications",wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/64/Warner_Bros._Discovery.svg,"The note says to use Warner Bros. Discovery, so this is its SVG lockup."
Dogs Trust,Dogs Trust,done,dogs-trust.png,Dogs Trust,"Dogs Trust, United Kingdom (dog welfare charity)",wikimedia,https://upload.wikimedia.org/wikipedia/en/e/e1/Dogs_Trust_logo.svg,
Hamad International Airport,Doha International Airport; Hamad International Airport,done,hamad-international-airport.png,Hamad International Airport,"Hamad International Airport, Doha, Qatar (successor to Doha International Airport)",official-site,https://www.dohahamadairport.com/sites/default/files/logos/logo-light_0.svg,"Built from the bilingual SVG lockup made for light backgrounds. Wikimedia kept returning 429 for the Wikipedia PNG, and the site SVG is the better source anyway."
Dolphin Energy,Dolphin Energy,failed,,Dolphin Energy,"Dolphin Energy Limited, Abu Dhabi, UAE",,,"Wikipedia has no logo, and the site's logo PNGs are too small: the largest colour one is 339x216 and the black one is 112x61. No SVG or press kit was found."
Dubai Air Navigation Services (DANS),Dubai Air Navigation Services (DANS),failed,,Dubai Air Navigation Services,"Dubai Air Navigation Services (dans), Government of Dubai, UAE",,,"There is no Wikipedia page, and dans.gov.ae resets every connection, both by curl and by fetch, so there was no route to the official logo."
Dubai Airports,Dubai Airports,done,dubai-airports.png,Dubai Airports,"Dubai Airports Company, operator of DXB and DWC, Dubai, UAE",official-site,https://dubaiairports.ae/images/corporatelibraries/logos/logo-da.svg,"This is the corporate bilingual Dubai Airports SVG from the company's corporate site, not the DXB passenger brand. Wikipedia has no infobox logo."
Dubai Aviation Engineering Projects,Dubai Aviation Engineering Projects,done,daep.png,Dubai Aviation Engineering Projects,"Dubai Aviation Engineering Projects (DAEP), Government of Dubai, UAE",official-site,https://daep.gov.ae/Images/logo-daep.png,"Built from the official header PNG, which is exactly the 400px minimum, so the tile is small (448px). No SVG was found."
Dubai Cares,Dubai Cares,done,dubai-cares.png,Dubai Cares,"Dubai Cares, philanthropic organisation (UAE), part of Mohammed bin Rashid Al Maktoum Global Initiatives",official-site,https://www.dubaicares.ae/themes/dubaicares/images/logo.svg,"Built from the bilingual SVG. Wikipedia has only a PNG, which Wikimedia would not serve because of rate limits."
Dubai Community Development Authority,Dubai Community Development Authority,failed,,Community Development Authority,"Community Development Authority (CDA), Government of Dubai, UAE",,,"There is no Wikipedia page. The site's own CDA logo is only a 292x58 PNG, and its SVG header logo is the white-only Government of Dubai mark."
Dubai Customs,Dubai Customs,done,dubai-customs.png,Dubai Customs,"Dubai Customs, Government of Dubai, UAE",official-site,https://www.dubaicustoms.gov.ae/SiteAssets/img/dubai-cutoms.svg,"Built from the true vector bilingual colour logo. The site's other two logo SVGs just wrap small rasters, so they were not used. There is no Wikipedia page."
Dubai Data and Statistics Establishment,Dubai Data and Statistics Establishment,done,dubai-data-and-statistics.png,Dubai Data and Statistics Establishment,"Dubai Data and Statistics Establishment (formerly Dubai Statistics Center), Digital Dubai, UAE",official-site,https://www.dsc.gov.ae/Style%20Library/Images/Logo.jpg,"The establishment's own header logo is the bilingual 'Data.Dubai' mark, a 1735px PNG saved with a .jpg extension. The caption keeps the organisation's name because the mark itself reads Data.Dubai."
Dubai Department of Economy and Tourism,Dubai Department of Economic Development (DED); Dubai Department of Tourism and Commerce Marketing,failed,,Dubai Department of Economy and Tourism,"Department of Economy and Tourism (DET), Government of Dubai, UAE, successor to DED and DTCM",,,There is no Wikipedia page for Dubai's DET. Akamai returns 403 for dubaidet.gov.ae and its logo SVG (dubai-det-flag-logo.svg) to every user agent tried.
Dubai Executive Council,Dubai Executive Council,failed,,The Executive Council of Dubai,"The Executive Council of Dubai (General Secretariat), Government of Dubai, UAE",,,"No Wikipedia page or logo was found. tec.gov.ae refuses curl connections, and a fetch of the page showed no logo image URLs."
Dubai Financial Services Authority (DFSA),Dubai Financial Services Authority (DFSA),failed,,DFSA,"Dubai Financial Services Authority (DFSA), DIFC, UAE",,,"The Wikipedia page has no infobox logo. The site's only logo files, logo.png and logo-2.png, are 160x100, and no SVG or press kit was found."
Dubai Holding,Dubai Holding,failed,,Dubai Holding,"Dubai Holding LLC, Dubai, UAE",,,"The colour logo exists only as a small raster: the Wikipedia PNG trims to 335x229, and the media-kit PDF just embeds the same 520x366 raster. The site header SVG is white-only."
Dubai International Arbitration Centre (DIAC),Dubai International Arbitration Centre (DIAC),done,diac.png,Dubai International Arbitration Centre,"Dubai International Arbitration Centre (DIAC), Dubai, UAE",official-site,https://www.diac.com/wp-content/themes/diac/assets/images/logo.svg,Built from the bilingual SVG lockup in the site header. The Wikipedia lookup was blocked by rate limits (429).
Dubai Legal Affairs Department,Dubai Legal Affairs Department,done,dubai-legal-affairs-department.png,Government of Dubai Legal Affairs Department,"Government of Dubai Legal Affairs Department, UAE",official-site,https://legal.dubai.gov.ae/assets/govlogo/ladlogo.svg,Built from the bilingual gold calligraphic SVG logo in the site header.
Dubai Petroleum Establishment,Dubai Petroleum Establishment,failed,,Dubai Petroleum Establishment,"Dubai Petroleum Establishment (DPE), Dubai, UAE",,https://www.dubaipetroleum.ae/app/themes/sage-8.5.1/dist/images/logo.png,"There is no logo on Wikimedia or Wikipedia, and the website's only logo files are small rasters (308x75 and 274x75), under the 400px minimum."
Dubai SME,Dubai SME,failed,,Dubai SME,"Dubai SME (Mohammed bin Rashid Establishment for SME Development), Dubai, UAE",,,"There is no logo on Wikimedia or Wikipedia, and sme.ae returns 403 even with a browser user agent."
Dutch Embassy Romania,Dutch Embassy Romania,done,netherlands-coat-of-arms.png,Kingdom of the Netherlands,"Embassy of the Kingdom of the Netherlands in Bucharest, Romania (tile is the sending country's coat of arms)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Rijkswapen_der_Nederlanden.svg/1280px-Rijkswapen_der_Nederlanden.svg.png,"The SVG original was rate-limited (429), so this uses Wikimedia's 1280px PNG render of the same file."
EHL,EHL,done,ehl.png,EHL Hospitality Business School,"EHL Hospitality Business School (Ecole hoteliere de Lausanne), Lausanne, Switzerland",official-site,https://www.ehl.edu/ (inline header SVG logo),Taken from the site header's inline SVG in navy (#001436). Wikipedia's EHL_Logo.png could not be fetched because of rate limiting.
ELEXON,ELEXON,done,elexon.png,Elexon,"Elexon Ltd, London, United Kingdom",official-site,https://assets.elexon.com/wp-content/uploads/2025/03/13132403/Elexon-logo-RGB-Master-copy.jpg,"Wikimedia has no Elexon logo, so this is the master RGB wordmark from Elexon's own media library."
EMPOWER,EMPOWER,failed,,Empower,"Emirates Central Cooling Systems Corporation (Empower), Dubai, UAE",,,"There is no logo on Wikimedia or Wikipedia (the English 'Empower' article is about a different company), and empower.ae sits behind a Sucuri JavaScript challenge that blocks automated requests even with a browser user agent."
EPFL,EPFL P-Mediacom,done,epfl.png,EPFL,"Ecole Polytechnique Federale de Lausanne (EPFL), Lausanne, Switzerland",official-site,https://www.epfl.ch/wp-content/themes/wp-theme-2018/assets/svg/epfl-logo.svg,Wikimedia was rate-limited; the official site's header SVG is the current red EPFL logo.
EQUATE Petrochemical Company,EQUATE Petrochemical Company,done,equate.png,EQUATE,"EQUATE Petrochemical Company, Kuwait",official-site,https://www.equate.com/wp-content/uploads/2019/02/EQUATE-logo-Arabic-and-English-in-JPEG-format.jpg,This is the official bilingual Arabic/English version with the tagline 'Partners in Success'. Wikipedia has no logo.
ERCA,ERCA,failed,,ERCA,,,,"Identity unclear: no Saudi body is called ERCA. The most likely candidate is ECRA (Electricity and Cogeneration Regulatory Authority, now SERA/WERA), but it could also be a garbled acronym for another Saudi authority."
ERTICO-ITS Europe,ERTICO-ITS Europe,done,ertico.png,ERTICO - ITS Europe,"ERTICO - ITS Europe, Brussels, Belgium",official-site,https://ertico.com/sites/default/files/ertico35years.svg,"The site header shows the 35th-anniversary lockup, so the SVG viewBox was cropped to its left half, which is the standard ERTICO/ITS Europe colour logo. The only standalone logo on the site is white-only, and Wikimedia has none."
EUROCITIES,EUROCITIES,done,eurocities.png,Eurocities,"Eurocities, Brussels, Belgium",official-site,https://eurocities.eu/wp-content/themes/eurocities/images/logo.svg,"Wikimedia was rate-limited at the time; Commons also has Logo_of_Eurocities.svg, which is the same mark."
Easa Saleh Al Gurg Group,Easa Saleh Al Gurg Group,done,al-gurg-group.png,Al Gurg Group,"Easa Saleh Al Gurg Group (Al Gurg Group), Dubai, UAE",official-site,https://www.algurg.com/wp-content/uploads/2026/01/algurg_logo_main-scaled.png,Stacked gold lockup of the calligraphic tughra and wordmark. The header SVGs are white-only. Wikipedia has no logo.
Ecobank,Ecobank,done,ecobank.png,Ecobank,"Ecobank Transnational Incorporated (Ecobank Group), Lome, Togo",official-site,https://ecobank.com/img/eco/eco_logo_blue.jpg,"This is the site's og:image, a clean blue logo with the tagline 'The Pan African Bank'. It is a raster only 417px wide; the header SVG is white-only. Commons has Ecobank_Logo_EN.png, but it was rate-limited."
Electricity Company of Ghana,Electricity Company of Ghana,failed,,Electricity Company of Ghana,"Electricity Company of Ghana Limited (ECG), Accra, Ghana",,https://www.ecg.com.gh/images/site/ecg_logo.png,"There is no logo on Wikimedia (the Wikipedia article redirects to PDS Ghana and has no image). The official logo's name is white-only and its colour emblem is only 205px, under the 400px minimum."
Electronics for Imaging,Electronics for Imaging,done,efi.png,EFI,"Electronics For Imaging, Inc. (EFI), Fremont, California, United States",official-site,https://www.efi.com/wp-content/uploads/sites/2/2023/07/efi-logo.svg,Wikimedia was rate-limited; the official header SVG is the current blue EFI logo.
Anwar Gargash Diplomatic Academy,Emirates Diplomatic Academy,done,anwar-gargash-diplomatic-academy.png,Anwar Gargash Diplomatic Academy,"Anwar Gargash Diplomatic Academy (formerly Emirates Diplomatic Academy), Abu Dhabi, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/en/2/2e/Anwar_Gargash_Diplomatic_Academy_logo.png,"Bilingual Arabic/English logo from the Wikipedia infobox. It is a raster, 437px wide."
Emirates Foundation,Emirates Foundation,done,emirates-foundation.png,Emirates Foundation,"Emirates Foundation, Abu Dhabi, UAE",official-site,https://www.emiratesfoundation.ae/images/site_logo.svg,Dark version of the bilingual Arabic/English wordmark; the header and footer versions are white. Wikipedia has no logo.
Emirates Transport,Emirates Transport,done,emirates-transport.png,Emirates Transport,"Emirates Transport (Mowasalat Al Emarat), UAE",official-site,https://et.ae/wp-content/uploads/2024/12/logo-1.svg,The Wikipedia page has no logo. This is the bilingual wordmark SVG from the et.ae site header (uploaded Dec 2024) and has no separate symbol.
Endava (UK),Endava (UK),done,endava.png,Endava,"Endava plc, London, United Kingdom",official-site,https://www.endava.com/ (inline header SVG logo),"The inline SVG's text fill was #fff, with the header's text colour #192b37 set on the element. The tile uses #192b37 for the text so it matches the site header, and fixes the viewBox. Wikipedia's logo file is an old Endava d.o.o. mark."
Eneco UK,Eneco UK,done,eneco.png,Eneco,"Eneco (Eneco Group, parent of Eneco UK), Rotterdam, Netherlands",official-site,https://www.eneco.nl/-/media/097f9cfe523448329b0644aab1ea661b.svg,"This is the Eneco group header logo, which Eneco UK also uses. Commons Eneco_logo.svg was rate-limited."
Enel,Enel,done,enel.png,Enel,"Enel S.p.A., Rome, Italy",official-site,https://www.enel.com/content/dam/enel-com/immagini/enel-logo/logo-solido.svg,"This is the current header logo on enel.com. Wikipedia also lists an 'Enel logo 2026.png', which could not be checked because of rate limiting."
Enterprise Estonia,Enterprise Estonia,done,enterprise-estonia.png,Enterprise Estonia,"Enterprise Estonia (Ettevõtluse ja Innovatsiooni Sihtasutus, EIS), Estonia",official-site,https://eis.ee/wp-content/uploads/2025/06/eis-logo-ettevotlus.svg,"eas.ee now redirects to eis.ee. KredEx merged into EAS in 2023 and the body was renamed EIS, but it is the same foundation. The current header logo reads 'eis enterprise estonia'. The logo is dark grey, which is how the brand uses it."
Ethara,Ethara,failed,,Ethara,"Ethara, Abu Dhabi, UAE (events and venues company)",,https://www.ethara.com/,"There is no Wikipedia page or Commons logo, and the official site only has a white wordmark SVG plus a 360px 'E' icon, with no dark or colour lockup."
Etihad Airways,Etihad Airways,done,etihad-airways.png,Etihad Airways,"Etihad Airways, UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/0e/Etihad-airways-logo.svg,This is the bilingual Arabic/English gold ETIHAD mark.
Eu-LISA,Eu-LISA,done,eu-lisa.png,eu-LISA,"European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), Tallinn, Estonia",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/EU-LISA_logo.svg/1280px-EU-LISA_logo.svg.png,"This is Wikimedia's PNG render, used because the SVG original was rate-limited."
Eurail Group G.I.E.,Eurail Group G.I.E.,done,interrail.png,Interrail,"Eurail B.V. (Eurail Group G.I.E.), Netherlands, which now trades globally as Interrail",official-site,https://www.interrail.com/content/dam/brand-assets/INTER-LOGO-blue-RGB1.svg,"Eurail rebranded globally as Interrail in September 2026, and eurail.com now redirects to interrail.com, so this is the current Interrail logo. The Interrail Wikipedia page has no logo."
Havas,Euro RSCG Dubai,done,havas.png,Havas,"Havas SA, France (successor brand to Euro RSCG Dubai)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Havas.png/1280px-Havas.png,"Per the note, this is the current Havas mark. It is the red wordmark, which matches the red logo on havas.com."
Eurofighter,Eurofighter,failed,,Eurofighter,"Eurofighter Jagdflugzeug GmbH, Hallbergmoos, Germany",,https://www.eurofighter.com/,"Wikipedia only has the consortium roundel, not the company logo, and eurofighter.com blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
European Aluminium Association,European Aluminium Association,done,european-aluminium.png,European Aluminium,"European Aluminium (formerly European Aluminium Association), Brussels, Belgium",official-site,https://european-aluminium.eu/wp-content/uploads/2022/09/2022_rgb_EUALU_logo.svg,There is no Wikipedia page for it.
European Banking Authority (EBA),European Banking Authority (EBA),done,european-banking-authority.png,European Banking Authority,"European Banking Authority (EBA), EU agency, Paris",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/EBA_Main.png/1280px-EBA_Main.png,
European Centre for Development Policy Management,European Centre for Development Policy Management,failed,,ECDPM,"European Centre for Development Policy Management (ECDPM), Maastricht, Netherlands",,https://ecdpm.org/,"The Wikimedia logo is only 240x240px, which is too small, and ecdpm.org blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
European Centre for the Development of Vocational Training (Cedefop),European Centre for the Development of Vocational Training (Cedefop),done,cedefop.png,Cedefop,"European Centre for the Development of Vocational Training (Cedefop), Thessaloniki, Greece",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/5/5c/CEDEFOP_logo.svg/1280px-CEDEFOP_logo.svg.png,This is the horizontal EU flag plus CEDEFOP lockup. The official site also has a vertical version (logo-v-large-EN.svg) if a stacked one is preferred.
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),done,echa.png,European Chemicals Agency,"European Chemicals Agency (ECHA), Helsinki, Finland",wikimedia,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/European_Chemicals_Agency_logo.svg/1280px-European_Chemicals_Agency_logo.svg.png,
European Committee of the Regions (CoR),European Committee of the Regions (CoR),done,european-committee-of-the-regions.png,European Committee of the Regions,"European Committee of the Regions (CoR), Brussels, Belgium",official-site,https://cor.europa.eu/en,"The Wikimedia file is the bare symbol with no name, so I took the stacked lockup from the inline SVG in the site header instead."
European Council on Refugees and Exiles (ECRE),European Council on Refugees and Exiles (ECRE),done,ecre.png,ECRE,"European Council on Refugees and Exiles (ECRE), Brussels, Belgium",official-site,https://ecre.org/wp-content/uploads/2019/12/ecre_logo_mediumres.png,"The Wikimedia logo is only 300px wide, which is too small, so this is a 1024px PNG from the official site."
European Investment Bank,European Investment Bank,done,european-investment-bank.png,European Investment Bank,"European Investment Bank (EIB), Luxembourg",wikimedia,https://upload.wikimedia.org/wikipedia/commons/b/b9/European_Investment_Bank_logo.svg,
European Lamp Companies Federation (ELC),European Lamp Companies Federation (ELC),done,lightingeurope.png,LightingEurope,"LightingEurope (formerly European Lamp Companies Federation, ELC), Brussels, Belgium",official-site,https://www.lightingeurope.org/images/logos/logo-lighting.svg,"Per the note, this is the successor's logo. There is no Wikipedia page."
European Petrochemical Association (EPCA),European Petrochemical Association (EPCA),failed,,EPCA,"European Petrochemical Association (EPCA), Brussels, Belgium",,https://epca.eu/,"There is no Wikipedia page, and the site's SVG logo is white only, with the blue colour version available only as a 200x60px PNG, which is too small."
European Regions Research and Innovation Network (ERRIN),European Regions Research and Innovation Network (ERRIN),failed,,ERRIN,"European Regions Research and Innovation Network (ERRIN), Brussels, Belgium",,https://errin.eu/,"There is no Wikipedia page or Commons logo (the Commons search was also rate-limited), and errin.eu blocks automated requests behind a Cloudflare challenge, even with a browser user agent."
European Union Agency for Cybersecurity (ENISA),European Union Agency for Cybersecurity (ENISA),done,enisa.png,ENISA,"European Union Agency for Cybersecurity (ENISA), Athens, Greece",official-site,https://www.enisa.europa.eu/sites/default/files/enisa-logo.svg,"The Wikimedia PNG (550px) shows the same mark, but I used the official SVG because it is sharper."
European Union Drugs Agency (EUDA),European Union Drugs Agency (EUDA),done,euda.png,European Union Drugs Agency,"European Union Drugs Agency (EUDA, formerly EMCDDA), Lisbon, Portugal",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/EUDA.svg/1280px-EUDA.svg.png,"This is Wikimedia's PNG render, used because the SVG original was rate-limited."
European Union Institute for Security Studies (EUISS),European Union Institute for Security Studies (EUISS),done,euiss.png,EUISS,"European Union Institute for Security Studies (EU agency, Paris, France)",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/EUISS-logo.svg/1280px-EUISS-logo.svg.png,"The SVG original was blocked by Wikimedia rate limiting, so I used Wikimedia's 1280px PNG render of the same file."
ExxonMobil,ExxonMobil,done,exxonmobil.png,ExxonMobil,Exxon Mobil Corporation (USA),wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Exxon_Mobil_Logo.svg/1280px-Exxon_Mobil_Logo.svg.png,"Wikimedia's 1280px PNG render of the SVG, because the original was rate-limited."
F&E Aerospace,F&E Aerospace,failed,,F&E Aerospace,"Probably Tarsus F&E LLC (F&E Aerospace), the Dubai company that organised the Dubai Airshow and Aircraft Interiors Middle East, now trading as Tarsus Aerospace (UAE)",,,"No usable source: feaerospace.com now redirects to GE Aerospace, the Tarsus site did not return a logo, and Wikimedia has no file. The note says 'aircraft interiors firm' but the events sector points to the event organiser, and no current F&E logo could be confirmed."
FMDQ OTC Securities Exchange,FMDQ OTC Securities Exchange,done,fmdq.png,FMDQ,"FMDQ Securities Exchange (formerly FMDQ OTC Securities Exchange), part of FMDQ Group, Nigeria",official-site,https://fmdqgroup.com/wp-content/uploads/2021/11/FMDQ-LOGO-November-2020.svg,"The site's SVG only wraps a 1531x364 PNG, which rendered blurry and clipped. I extracted that PNG and used it as a raster source. It is the FMDQ group mark, which the exchange also uses."
Falcon and Associates,Falcon and Associates,failed,,Falcon and Associates,"Falcon and Associates, Dubai government investment firm (falconandassociates.ae), UAE",,,"The official site fails TLS certificate verification through the proxy and WebFetch, so it could not be reached, and Wikimedia has no logo file."
Famfa Oil,Famfa Oil,failed,,Famfa Oil,"Famfa Oil Limited, Lagos, Nigeria (famfa.com)",,https://www.famfa.com/wp-content/uploads/2023/11/Famfa-Oil-Logo.png,"The official lockup is only 382x100 px (below 400), and the full-name version is white text. The only large file is the 512px bare drop symbol, and Wikimedia has nothing."
"Farouk, Maamoun Mohammed Said Tamer Industries Holding","Farouk, Maamoun Mohammed Said Tamer Industries Holding",failed,,Tamer Group,"Tamer Group (Farouk, Maamoun Tamer and Co.), Jeddah, Saudi Arabia (tamergroup.com)",,https://tamergroup.com/,"The site's header and footer SVG lockups have the wordmark in white, and only the green symbol is in colour, so there is no colour lockup (I deleted the symbol-only tile). Wikimedia has no file."
Federal University of Technology Akure,Federal University of Technology Akure,failed,,Federal University of Technology Akure,"Federal University of Technology Akure (FUTA), Ondo State, Nigeria (futa.edu.ng)",,,"The official site returns 403 to both user agents and to WebFetch. The Wikipedia page image is a campus photo, and I found no logo on Commons."
Feedzai,Feedzai,done,feedzai.png,Feedzai,"Feedzai (fraud-prevention software company, Portugal)",official-site,https://www.feedzai.com/,"Inline SVG from the site header, used because it is the current mark. Wikimedia only has the 2020 version."
Ferrexpo,Ferrexpo Yeristovo Mining,done,ferrexpo.png,Ferrexpo,"Ferrexpo plc (Ferrexpo Yeristovo Mining is a subsidiary), Ukraine / Switzerland",wikimedia,https://upload.wikimedia.org/wikipedia/commons/d/d2/Ferrexpo.svg,"Commons SVG original was rate-limited (429), so the tile was built from Wikimedia's 1280px PNG render of the same file (upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Ferrexpo.svg/1280px-Ferrexpo.svg.png); no SVG saved."
Fidelity Bank of Ghana,Fidelity Bank of Ghana,done,fidelity-bank-ghana.png,Fidelity Bank Ghana,"Fidelity Bank Ghana Limited, Ghana",official-site,https://fidelitybank.com.gh/wp-content/uploads/2025/06/darklogo.svg,"The site's dark header logo, which includes the tagline 'Believe with us.'"
First Bank of Nigeria,First Bank of Nigeria,failed,,FirstBank,"First Bank of Nigeria Limited (FirstBank), Nigeria (firstbankgroup.com/ng)",,,"The official site fails TLS certificate verification through the proxy and WebFetch. The Wikipedia page image is an HQ photo, and I found no logo on Commons."
First Abu Dhabi Bank,First Gulf Bank; National Bank of Abu Dhabi,done,first-abu-dhabi-bank.png,First Abu Dhabi Bank,"First Abu Dhabi Bank (successor of First Gulf Bank and National Bank of Abu Dhabi), UAE",wikimedia,https://upload.wikimedia.org/wikipedia/commons/2/22/First_Abu_Dhabi_Bank_Logo.svg,Bilingual Arabic/English lockup.
Flexport Group,Flexport Group,done,flexport.png,Flexport,"Flexport Group B.V., Amsterdam, the Dutch subsidiary of Flexport Inc. (logistics)",official-site,https://cdn.sanity.io/images/ynj1yl20/development/9f37e70ef11a76f16b732f365d3f3d3cbf3fed43-481x112.svg,The logo SVG named in flexport.com's schema.org data. Wikimedia was unreachable because of rate limiting.
Fortum,Fortum,done,fortum.png,Fortum,"Fortum Oyj, Finland",official-site,https://www.fortum.com/,"Inline SVG logo from the site header, because Wikimedia was unreachable due to rate limiting."
Ajman Free Zone,Free Zones Authority of Ajman,done,ajman-free-zone.png,Ajman Free Zone,"Ajman Free Zone (Free Zones Authority of Ajman), UAE",official-site,https://afz.gov.ae/media/AFZ/Files/downloads/afz_logo_pdf.pdf,From the official press kit logo PDF: I converted page 2 (dark on white) to SVG. It is the bilingual lockup and the brand's own colour is black.
Fusion For Energy,Fusion For Energy,done,fusion-for-energy.png,Fusion for Energy,"Fusion for Energy (F4E), EU joint undertaking, Barcelona, Spain",wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo_of_Fusion_for_Energy.jpg/1280px-Logo_of_Fusion_for_Energy.jpg,"Wikimedia 1280px render of the JPG. The site header SVG was symbol-only with no colour, so I did not use it."
GARMCO,GARMCO,failed,,GARMCO,"Gulf Aluminium Rolling Mill B.S.C. (GARMCO), Bahrain",,https://www.garmco.com/MediaManager/Media/Assets/GarmcoHeaderLogo1Footer.png,"The largest logo on the official site is 224x300 px (the others are under 100 px and one is white), and Wikimedia has no logo."
