logo,database_names,reason
Omani Authority for Partnership and Development,Omani Authority for Partnership and Development,The body is defunct and oapd.gov.om is unreachable through the proxy. There is no Wikipedia or Commons logo.
Open Society Initiative for West Africa (OSIWA),Open Society Initiative for West Africa (OSIWA),"osiwa.org now redirects to the Open Society Foundations Africa page, which uses the OSF logo, and the archived OSIWA site is blocked. There is no Wikipedia or Commons OSIWA logo. If OSF counts as the successor, its logo could be used instead."
OPTS,OPTS; Nigeria Oil Producers Trade Section (OPTS),"There is no Wikipedia or Commons logo, and the only logo on opts-ng.com is a 182x39 PNG; its 512px site icon is a blurry crop of the same small file."
Overseas Development Institute,Overseas Development Institute,"odi.org blocks automated requests with Cloudflare, and a readable copy of the page listed no logo file. The only clean image found is a social thumbnail on a navy background. No Wikipedia or Commons logo was found."
Pakistan National Electric Power Regulatory Authority,Pakistan National Electric Power Regulatory Authority,"Both channels only have small rasters: the Wikipedia logo file is 250px and the site's header logo is 300x60 (with a 100px emblem), and there is no SVG, so the helper would have to upscale."
PCNI,PCNI,"pcni.gov.ng does not resolve and there is no Wikipedia or Commons logo. The identity is also a best match only, since the note says the name is unclear."
Road Transport and Safety Agency Zambia,Road Transport and Safety Agency Zambia,"The official-site emblem only exists as small rasters (largest trims to 329x355 px, below 400), and the Wikipedia article has no logo."
Royal College of Surgeons in Ireland (RCSI),Royal College of Surgeons in Ireland (RCSI),"The site's colour logo is an SVG wrapper around a 350px raster (too small) plus a white-only crest, and Wikimedia only has an old 366x470 JPG that was rate-limited when tried."
S-Chem,S-Chem,"The official site only has a 300x121 px logo raster (below 400), and I found no Wikimedia file."
Sahara Group,Sahara Group,"Wikimedia's file 'Sahara-group-logo.jpg' exists, but every download over about 90 minutes returned 429 (rate limit). The sahara-group.com header logo is 182x51 px, too small. Please retry the Commons file later."
Sami Navantia Naval Industries,Sami Navantia Naval Industries,"Commons has no SAMI Navantia logo, and the proxy refuses the connection to saminavantia.com.sa (502 on CONNECT)."
Saudi Authority for the Care of Persons with Disabilities (APD),Saudi Authority for the Care of Persons with Disabilities (APD),"A Commons search found 'File:APD logo.svg' (not yet confirmed as this APD), but every download returned 429 (rate limit). apd.gov.sa resets every connection from this environment. Please retry the Commons file later."
Saudi Council of Economic and Development Affairs (CEDA),Saudi Council of Economic and Development Affairs (CEDA),"The Wikipedia page has no logo and a Commons search found none. The proxy refuses the connection to ceda.gov.sa (502), so I could not check whether CEDA has its own mark. If it has none, the Saudi emblem (saudi-arabia-emblem.png) would apply."
Saudi General Authority for Competition (GAC),Saudi General Authority for Competition (GAC),"The Commons file 'General_Authority_of_Competition_Logo.svg' exists, but every download of it and of its PNG version returned 429 (rate limit) for over 30 minutes. gac.gov.sa resets every connection. Please retry the Commons file later."
Saudi Ports Development Company,Saudi Ports Development Company,"No usable logo: PDC uses the King Abdullah Port logo, which is only 188x150px on its site, and its Wikipedia page has no logo; also check whether the client was PDC or Mawani."
Saudi Technology Development and Investment Company (TAQNIA),Saudi Technology Development and Investment Company (TAQNIA),"No usable logo: there is no Wikipedia page or Commons file, and the official taqnia.sa and taqnia.com.sa sites would not load from here."
Saudi Tourism Development Fund (TDF),Saudi Tourism Development Fund (TDF),No usable logo: the Wikipedia page has no logo and tdf.gov.sa would not load from here.
SENAAT,SENAAT,"There is no SENAAT logo on Wikimedia (the only match, 'Logo senaat.jpg', is an unrelated Dutch crest), and the only logo on senaat.co is a 367x73 raster, below the 400px minimum."
SEPLAT,SEPLAT,"The Wikipedia infobox has no logo and a Commons search found nothing; seplatenergy.com returns a Cloudflare 403 to every request, including with a browser user agent."
Serbia Anti-Corruption Agency,Serbia Anti-Corruption Agency,"No usable logo: acas.rs timed out and I found no Wikipedia or Commons logo; the agency has its own logo, so the coat of arms fallback does not apply."
Seychelles Civil Aviation Authority (SCAA),Seychelles Civil Aviation Authority (SCAA),No usable logo: the Wikipedia infobox logo field is empty and scaa.sc returns only a captcha page to automated requests.
Shams Power Company,Shams Power Company,"No usable logo of its own: shamspower.ae could not be reached and Wikipedia has only a photo of the plant; if Will prefers the parent, masdar.png is already in the library."
Sharjah BEEAH,BEEAH,"No logo on Commons. Every logo on beeahgroup.com (header SVGs, Asset-1.svg) has white 'BEEAH' text meant for dark backgrounds, and no dark or colour version was found."
Sharjah Investment and Development Authority (Shurooq),Sharjah Investment and Development Authority (Shurooq),"No usable logo: there is no logo on the Wikipedia page or on Commons, and shurooq.gov.ae shows only a captcha page, even to a browser user agent."
Sierra Leone National Revenue Authority,Sierra Leone National Revenue Authority,"No usable logo: the logo on the official site is only 228x80px, and there is no Wikipedia page or Commons file."
Sohar Port and Freezone,Sohar Industrial Port Company; Sohar Port and Freezone,"No usable logo: the header logo on the official site is only 147x27px, and the Wikipedia page and Commons have none."
Solidaridad,Solidaridad,"No usable logo: the site header logo is white-only and 320px wide, other logo files there are 141px, and Wikipedia and Commons have none."
Soros Foundation-Kazakhstan,Soros Foundation-Kazakhstan,"Wikimedia Commons has no logo for it, and its official site soros.kz has an expired TLS certificate, so the logo could not be fetched safely."
Space42,Yahsat,"There is no Space42 logo on Wikipedia or Commons. space42.ai sits behind a Cloudflare challenge that returns 403 to both user agents, including its logo file at /en/lp/Logo.svg."
Takaful Emarat,Takaful Emarat,"Commons has no logo, and the official site only offers a 180x73 header PNG and a cropped 512px icon that cuts off the wordmark."
Takamol Holding,Takamol Holding,"The official site only has a white-only logo SVG and no dark or colour variant was found, and Commons has no Takamol logo."
Tamkeen Abu Dhabi,Tamkeen Abu Dhabi,"Identity unclear. The candidates are Tamkeen, the Abu Dhabi government body that funds NYU Abu Dhabi research, and other Abu Dhabi programmes named Tamkeen (for example ones for people of determination), plus Bahrain's Tamkeen labour fund. The note itself says it is unclear which one this is."
Tasnee,Tasnee,"No English or Arabic Wikipedia article and no logo on Commons, and tasnee.com could not be reached from this environment."
Tatweer Education Holding Company,Tatweer Education Holding Company,"No logo on Wikimedia. The site's declared logo (tatweer.sa/logo.png) could not be reached. The only other file is a group graphic in white on a navy tab with subsidiary logos, which does not meet the spec."
Tawal,Tawal,"No Wikipedia article or Commons logo, and tawal.com.sa could not be reached from this environment."
Tawazun,Tawazun,"No Wikipedia article or Commons logo. The official site offers only white versions (tc_logo2025.png and a small Logo-Tall.png), and I found no dark or colour variant."
Tawuniya,Tawuniya,"No Wikipedia or Commons logo was found, and tawuniya.com returns 403 to automated requests, including with a browser user agent."
Tema Oil Refinery (TOR),Tema Oil Refinery (TOR),"Wikipedia's Tema Oil Refinery page has no logo, and the official site (tor.com.gh) could not be reached because the network proxy refused the connection."
The Bank of Sierra Leone,The Bank of Sierra Leone,"The Wikipedia logo (BANK_OF_SIERRA_LEONE_LOGO.png) is only 316px. The official site's BSL_Logo.jpeg is 640px, but the seal's ring is cut off at the right and bottom edges."
The Benefit Company,The Benefit Company,"The Wikipedia logo file is only 62x73px, and benefit.bh sits behind a Cloudflare challenge that blocks automated requests."
The Climate Group,The Climate Group,"Wikimedia has only the bare degree-C symbol, not the lockup. The site's lockup is a 254x38 white-on-black JPG, and its SVG has a white C. No usable full lockup was found."
The Duke of Edinburgh's International Award Foundation,The Duke of Edinburgh's International Award Foundation,"Wikipedia redirects to the UK DofE Award, a different organisation's logo. On the official site the current logo exists only in white or as a small grey #WorldReady campaign lockup, and the older colour CMYK PNG is cropped."
The Executive Office of HH Sheikh Mohammed (TEO),The Executive Office of HH Sheikh Mohammed (TEO),"No Wikipedia article or Commons logo was found, and theexecutiveoffice.gov.ae could not be reached from this environment. executiveoffice.ae is a parked domain."
The Fishmongers' Company,The Fishmongers' Company,"Wikimedia has only the Company's heraldic arms, not its logo. The official logo (TFC_Logo.svg) has white lettering beside gold dolphins, and I found no dark variant on the site."
Tullow Oil,Tullow Ghana; Tullow Group Services,"The official site only has a white logo (logo-white.svg), and I found no dark version on its media pages. Wikipedia only has the old stacked 'TULLOW Oil plc' mark, which is no longer used, so I built it and then deleted it."
UAE Federal Authority for Nuclear Regulation (FANR),UAE Federal Authority for Nuclear Regulation (FANR),"The site header logo (FANR-logo.png) is only 340px wide, and there is no SVG or larger file. Wikipedia and Commons have no FANR logo."
UAE Jiu Jitsu Federation,UAE Jiu Jitsu Federation,"Wikipedia and Commons have no logo file, and uaejjf.org could not be reached from here."
UAE Regulation and Supervision Bureau,UAE Regulation and Supervision Bureau,"Wikipedia and Commons have no logo for the Abu Dhabi RSB, and the proxy blocked rsb.gov.ae."
Uganda Cancer Institute,Uganda Cancer Institute,"Wikipedia and Commons have no logo. The only full logo on the official site is the 333x150 original, too small to use without upscaling."
Uganda National Council for Science and Technology (UNCST),Uganda National Council for Science and Technology (UNCST),"Wikipedia and Commons have no logo. On the official site the largest logo file is about 166px (logo.png 150x133, UNCST Logo.JPG 166x173), too small to use without upscaling."
Uganda National Planning Authority,Uganda National Planning Authority,"Wikipedia and Commons have no logo. The official site returns 403 to automated requests, including with a browser user agent."
Uganda National Roads Authority,Uganda National Roads Authority,"Wikipedia and Commons have no logo. The official site resets the HTTPS connection and returns 503 over HTTP, so no logo could be fetched."
University of Ilorin,University of Ilorin,"Wikipedia and Commons have no logo file (only photos), and the largest logo on the official site is 317px, below the 400px minimum."
University of New England,University of New England,"Identity unclear: there is no UK University of New England. The candidates are the University of New England in Armidale, Australia and the University of New England in Maine, USA."
Yas Marina Circuit,Yas Marina Circuit,"The Wikipedia page image is a track map, not a logo, and Commons has no logo. The official site only serves a white-only YMC_logo.svg and no colour or dark version was found."
Yemen LNG Company,Yemen LNG Company,"Both sources are too small: the Wikipedia logo (YLNG_LOGO_small.jpg) is 312x318, and the site only has an 81px footer logo and a logo inside a 900x200 banner photo."
Zambia Airports,Zambia Airports,"There is no logo on Wikipedia or Commons. zacl.co.zm only has header logos of 151x72 and 126x60 px, far below the 400px minimum, and no larger file or media kit was found."
Zamil Industrial,Zamilindustrial,"zamilindustrial.com now redirects to senaat.com. The company renamed itself SENAAT, and the site serves only white-only SENAAT logos. The Commons Zamil Industrial Logo.svg is an Arabic-only partial wordmark, not the full lockup. Please decide whether to use the old Zamil mark or the new SENAAT one."
